neighborhood;population;district;relation;
Arkońskie-Niemierzyn;12045;Zachód;2873707;"rel(id:2873707);"
Bukowe-Klęskowo;14392;Prawobrzeże;2872057;"rel(id:2872057);"
Bukowo;4633;Północ;2873883;"rel(id:2873883);"
Centrum;17818;Śródmieście;2195106;"rel(id:2195106);"
Dąbie;12986;Prawobrzeże;2873921;"rel(id:2873921);"
Drzetowo-Grabowo;15798;Śródmieście;2873820;"rel(id:2873820);"
Głębokie-Pilchowo;1217;Zachód;2873691;"rel(id:2873691);"
Golęcino-Gocław;3142;Północ;2873877;"rel(id:2873877);"
Gumieńce;22116;Zachód;2873249;"rel(id:2873249);"
Kijewo;3488;Prawobrzeże;2872004;"rel(id:2872004);"
Krzekowo-Bezrzecze;4408;Zachód;2873638;"rel(id:2873638);"
Łękno;3227;Śródmieście;2196207;"rel(id:2196207);"
Majowe;7232;Prawobrzeże;2872082;"rel(id:2872082);"
Międzyodrze-Wyspa Pucka;969;Śródmieście;2872193;"rel(id:2872193);"
Niebuszewo;17380;Północ;2873794;"rel(id:2873794);"
Niebuszewo-Bolinko;20789;Śródmieście;2197085;"rel(id:2197085);"
Nowe Miasto;8470;Śródmieście;2197103;"rel(id:2197103);"
Osów;4350;Zachód;2873701;"rel(id:2873701);"
Płonia-Śmierdnica-Jezierzyce;4189;Prawobrzeże;2871703;"rel(id:2871703);"
Podjuchy;8508;Prawobrzeże;2872136;"rel(id:2872136);"
Pogodno;24000;Zachód;2195927;"rel(id:2195927);"
Pomorzany;20505;Zachód;2872237;"rel(id:2872237);"
Skolwin;3168;Północ;2873916;"rel(id:2873916);"
Słoneczne;12808;Prawobrzeże;2872089;"rel(id:2872089);"
Stare Miasto;4947;Śródmieście;2195077;"rel(id:2195077);"
Stołczyn;4223;Północ;2873911;"rel(id:2873911);"
Śródmieście-Północ;11647;Śródmieście;2195891;"rel(id:2195891);"
Śródmieście-Zachód;13807;Śródmieście;2195807;"rel(id:2195807);"
Świerczewo;15673;Zachód;2873222;"rel(id:2873222);"
Turzyn;20426;Śródmieście;2195911;"rel(id:2195911);"
Warszewo;10848;Północ;2873859;"rel(id:2873859);"
Wielgowo-Sławociesze-Zdunowo;3862;Prawobrzeże;2871794;"rel(id:2871794);"
Załom-Kasztanowe;3499;Prawobrzeże;2871851;"rel(id:2871851);"
Zawadzkiego-Klonowica;11974;Zachód;2873626;"rel(id:2873626);"
Zdroje;8615;Prawobrzeże;2872098;"rel(id:2872098);"
Żelechowa;14738;Północ;2873837;"rel(id:2873837);"
Żydowce-Klucz;2290;Prawobrzeże;2872146;"rel(id:2872146);"
